,source,target
5483,D:\PROJECTS\Python_projects\PythonMain\data_task\5483,D:\PROJECTS\Python_projects\PythonMain\data_solved\5483
5484,D:\PROJECTS\Python_projects\PythonMain\data_task\5484,D:\PROJECTS\Python_projects\PythonMain\data_solved\5484
5485,D:\PROJECTS\Python_projects\PythonMain\data_task\5485,D:\PROJECTS\Python_projects\PythonMain\data_solved\5485
5486,D:\PROJECTS\Python_projects\PythonMain\data_task\5486,D:\PROJECTS\Python_projects\PythonMain\data_solved\5486
5487,D:\PROJECTS\Python_projects\PythonMain\data_task\5487,D:\PROJECTS\Python_projects\PythonMain\data_solved\5487
5488,D:\PROJECTS\Python_projects\PythonMain\data_task\5488,D:\PROJECTS\Python_projects\PythonMain\data_solved\5488
5489,D:\PROJECTS\Python_projects\PythonMain\data_task\5489,D:\PROJECTS\Python_projects\PythonMain\data_solved\5489
5490,D:\PROJECTS\Python_projects\PythonMain\data_task\5490,D:\PROJECTS\Python_projects\PythonMain\data_solved\5490
5491,D:\PROJECTS\Python_projects\PythonMain\data_task\5491,D:\PROJECTS\Python_projects\PythonMain\data_solved\5491
5492,D:\PROJECTS\Python_projects\PythonMain\data_task\5492,D:\PROJECTS\Python_projects\PythonMain\data_solved\5492
5493,D:\PROJECTS\Python_projects\PythonMain\data_task\5493,D:\PROJECTS\Python_projects\PythonMain\data_solved\5493
5494,D:\PROJECTS\Python_projects\PythonMain\data_task\5494,D:\PROJECTS\Python_projects\PythonMain\data_solved\5494
5495,D:\PROJECTS\Python_projects\PythonMain\data_task\5495,D:\PROJECTS\Python_projects\PythonMain\data_solved\5495
5496,D:\PROJECTS\Python_projects\PythonMain\data_task\5496,D:\PROJECTS\Python_projects\PythonMain\data_solved\5496
5497,D:\PROJECTS\Python_projects\PythonMain\data_task\5497,D:\PROJECTS\Python_projects\PythonMain\data_solved\5497
5498,D:\PROJECTS\Python_projects\PythonMain\data_task\5498,D:\PROJECTS\Python_projects\PythonMain\data_solved\5498
5499,D:\PROJECTS\Python_projects\PythonMain\data_task\5499,D:\PROJECTS\Python_projects\PythonMain\data_solved\5499
5500,D:\PROJECTS\Python_projects\PythonMain\data_task\5500,D:\PROJECTS\Python_projects\PythonMain\data_solved\5500
5501,D:\PROJECTS\Python_projects\PythonMain\data_task\5501,D:\PROJECTS\Python_projects\PythonMain\data_solved\5501
5502,D:\PROJECTS\Python_projects\PythonMain\data_task\5502,D:\PROJECTS\Python_projects\PythonMain\data_solved\5502
5503,D:\PROJECTS\Python_projects\PythonMain\data_task\5503,D:\PROJECTS\Python_projects\PythonMain\data_solved\5503
5504,D:\PROJECTS\Python_projects\PythonMain\data_task\5504,D:\PROJECTS\Python_projects\PythonMain\data_solved\5504
5505,D:\PROJECTS\Python_projects\PythonMain\data_task\5505,D:\PROJECTS\Python_projects\PythonMain\data_solved\5505
5506,D:\PROJECTS\Python_projects\PythonMain\data_task\5506,D:\PROJECTS\Python_projects\PythonMain\data_solved\5506
5507,D:\PROJECTS\Python_projects\PythonMain\data_task\5507,D:\PROJECTS\Python_projects\PythonMain\data_solved\5507
5508,D:\PROJECTS\Python_projects\PythonMain\data_task\5508,D:\PROJECTS\Python_projects\PythonMain\data_solved\5508
5509,D:\PROJECTS\Python_projects\PythonMain\data_task\5509,D:\PROJECTS\Python_projects\PythonMain\data_solved\5509
5510,D:\PROJECTS\Python_projects\PythonMain\data_task\5510,D:\PROJECTS\Python_projects\PythonMain\data_solved\5510
5511,D:\PROJECTS\Python_projects\PythonMain\data_task\5511,D:\PROJECTS\Python_projects\PythonMain\data_solved\5511
5512,D:\PROJECTS\Python_projects\PythonMain\data_task\5512,D:\PROJECTS\Python_projects\PythonMain\data_solved\5512
5513,D:\PROJECTS\Python_projects\PythonMain\data_task\5513,D:\PROJECTS\Python_projects\PythonMain\data_solved\5513
5514,D:\PROJECTS\Python_projects\PythonMain\data_task\5514,D:\PROJECTS\Python_projects\PythonMain\data_solved\5514
5515,D:\PROJECTS\Python_projects\PythonMain\data_task\5515,D:\PROJECTS\Python_projects\PythonMain\data_solved\5515
5516,D:\PROJECTS\Python_projects\PythonMain\data_task\5516,D:\PROJECTS\Python_projects\PythonMain\data_solved\5516
5517,D:\PROJECTS\Python_projects\PythonMain\data_task\5517,D:\PROJECTS\Python_projects\PythonMain\data_solved\5517
5518,D:\PROJECTS\Python_projects\PythonMain\data_task\5518,D:\PROJECTS\Python_projects\PythonMain\data_solved\5518
5519,D:\PROJECTS\Python_projects\PythonMain\data_task\5519,D:\PROJECTS\Python_projects\PythonMain\data_solved\5519
5520,D:\PROJECTS\Python_projects\PythonMain\data_task\5520,D:\PROJECTS\Python_projects\PythonMain\data_solved\5520
5521,D:\PROJECTS\Python_projects\PythonMain\data_task\5521,D:\PROJECTS\Python_projects\PythonMain\data_solved\5521
5522,D:\PROJECTS\Python_projects\PythonMain\data_task\5522,D:\PROJECTS\Python_projects\PythonMain\data_solved\5522
5523,D:\PROJECTS\Python_projects\PythonMain\data_task\5523,D:\PROJECTS\Python_projects\PythonMain\data_solved\5523
5524,D:\PROJECTS\Python_projects\PythonMain\data_task\5524,D:\PROJECTS\Python_projects\PythonMain\data_solved\5524
5525,D:\PROJECTS\Python_projects\PythonMain\data_task\5525,D:\PROJECTS\Python_projects\PythonMain\data_solved\5525
5526,D:\PROJECTS\Python_projects\PythonMain\data_task\5526,D:\PROJECTS\Python_projects\PythonMain\data_solved\5526
5527,D:\PROJECTS\Python_projects\PythonMain\data_task\5527,D:\PROJECTS\Python_projects\PythonMain\data_solved\5527
5528,D:\PROJECTS\Python_projects\PythonMain\data_task\5528,D:\PROJECTS\Python_projects\PythonMain\data_solved\5528
5529,D:\PROJECTS\Python_projects\PythonMain\data_task\5529,D:\PROJECTS\Python_projects\PythonMain\data_solved\5529
5530,D:\PROJECTS\Python_projects\PythonMain\data_task\5530,D:\PROJECTS\Python_projects\PythonMain\data_solved\5530
5531,D:\PROJECTS\Python_projects\PythonMain\data_task\5531,D:\PROJECTS\Python_projects\PythonMain\data_solved\5531
5532,D:\PROJECTS\Python_projects\PythonMain\data_task\5532,D:\PROJECTS\Python_projects\PythonMain\data_solved\5532
5533,D:\PROJECTS\Python_projects\PythonMain\data_task\5533,D:\PROJECTS\Python_projects\PythonMain\data_solved\5533
5534,D:\PROJECTS\Python_projects\PythonMain\data_task\5534,D:\PROJECTS\Python_projects\PythonMain\data_solved\5534
5535,D:\PROJECTS\Python_projects\PythonMain\data_task\5535,D:\PROJECTS\Python_projects\PythonMain\data_solved\5535
5536,D:\PROJECTS\Python_projects\PythonMain\data_task\5536,D:\PROJECTS\Python_projects\PythonMain\data_solved\5536
5537,D:\PROJECTS\Python_projects\PythonMain\data_task\5537,D:\PROJECTS\Python_projects\PythonMain\data_solved\5537
5538,D:\PROJECTS\Python_projects\PythonMain\data_task\5538,D:\PROJECTS\Python_projects\PythonMain\data_solved\5538
5539,D:\PROJECTS\Python_projects\PythonMain\data_task\5539,D:\PROJECTS\Python_projects\PythonMain\data_solved\5539
5540,D:\PROJECTS\Python_projects\PythonMain\data_task\5540,D:\PROJECTS\Python_projects\PythonMain\data_solved\5540
5541,D:\PROJECTS\Python_projects\PythonMain\data_task\5541,D:\PROJECTS\Python_projects\PythonMain\data_solved\5541
5542,D:\PROJECTS\Python_projects\PythonMain\data_task\5542,D:\PROJECTS\Python_projects\PythonMain\data_solved\5542
5543,D:\PROJECTS\Python_projects\PythonMain\data_task\5543,D:\PROJECTS\Python_projects\PythonMain\data_solved\5543
5544,D:\PROJECTS\Python_projects\PythonMain\data_task\5544,D:\PROJECTS\Python_projects\PythonMain\data_solved\5544
5545,D:\PROJECTS\Python_projects\PythonMain\data_task\5545,D:\PROJECTS\Python_projects\PythonMain\data_solved\5545
5546,D:\PROJECTS\Python_projects\PythonMain\data_task\5546,D:\PROJECTS\Python_projects\PythonMain\data_solved\5546
5547,D:\PROJECTS\Python_projects\PythonMain\data_task\5547,D:\PROJECTS\Python_projects\PythonMain\data_solved\5547
5548,D:\PROJECTS\Python_projects\PythonMain\data_task\5548,D:\PROJECTS\Python_projects\PythonMain\data_solved\5548
5549,D:\PROJECTS\Python_projects\PythonMain\data_task\5549,D:\PROJECTS\Python_projects\PythonMain\data_solved\5549
5550,D:\PROJECTS\Python_projects\PythonMain\data_task\5550,D:\PROJECTS\Python_projects\PythonMain\data_solved\5550
5551,D:\PROJECTS\Python_projects\PythonMain\data_task\5551,D:\PROJECTS\Python_projects\PythonMain\data_solved\5551
5552,D:\PROJECTS\Python_projects\PythonMain\data_task\5552,D:\PROJECTS\Python_projects\PythonMain\data_solved\5552
5553,D:\PROJECTS\Python_projects\PythonMain\data_task\5553,D:\PROJECTS\Python_projects\PythonMain\data_solved\5553
5554,D:\PROJECTS\Python_projects\PythonMain\data_task\5554,D:\PROJECTS\Python_projects\PythonMain\data_solved\5554
5555,D:\PROJECTS\Python_projects\PythonMain\data_task\5555,D:\PROJECTS\Python_projects\PythonMain\data_solved\5555
5556,D:\PROJECTS\Python_projects\PythonMain\data_task\5556,D:\PROJECTS\Python_projects\PythonMain\data_solved\5556
5557,D:\PROJECTS\Python_projects\PythonMain\data_task\5557,D:\PROJECTS\Python_projects\PythonMain\data_solved\5557
5558,D:\PROJECTS\Python_projects\PythonMain\data_task\5558,D:\PROJECTS\Python_projects\PythonMain\data_solved\5558
5559,D:\PROJECTS\Python_projects\PythonMain\data_task\5559,D:\PROJECTS\Python_projects\PythonMain\data_solved\5559
5560,D:\PROJECTS\Python_projects\PythonMain\data_task\5560,D:\PROJECTS\Python_projects\PythonMain\data_solved\5560
5561,D:\PROJECTS\Python_projects\PythonMain\data_task\5561,D:\PROJECTS\Python_projects\PythonMain\data_solved\5561
5562,D:\PROJECTS\Python_projects\PythonMain\data_task\5562,D:\PROJECTS\Python_projects\PythonMain\data_solved\5562
5563,D:\PROJECTS\Python_projects\PythonMain\data_task\5563,D:\PROJECTS\Python_projects\PythonMain\data_solved\5563
5564,D:\PROJECTS\Python_projects\PythonMain\data_task\5564,D:\PROJECTS\Python_projects\PythonMain\data_solved\5564
5565,D:\PROJECTS\Python_projects\PythonMain\data_task\5565,D:\PROJECTS\Python_projects\PythonMain\data_solved\5565
5566,D:\PROJECTS\Python_projects\PythonMain\data_task\5566,D:\PROJECTS\Python_projects\PythonMain\data_solved\5566
5567,D:\PROJECTS\Python_projects\PythonMain\data_task\5567,D:\PROJECTS\Python_projects\PythonMain\data_solved\5567
5568,D:\PROJECTS\Python_projects\PythonMain\data_task\5568,D:\PROJECTS\Python_projects\PythonMain\data_solved\5568
5569,D:\PROJECTS\Python_projects\PythonMain\data_task\5569,D:\PROJECTS\Python_projects\PythonMain\data_solved\5569
5570,D:\PROJECTS\Python_projects\PythonMain\data_task\5570,D:\PROJECTS\Python_projects\PythonMain\data_solved\5570
5571,D:\PROJECTS\Python_projects\PythonMain\data_task\5571,D:\PROJECTS\Python_projects\PythonMain\data_solved\5571
5572,D:\PROJECTS\Python_projects\PythonMain\data_task\5572,D:\PROJECTS\Python_projects\PythonMain\data_solved\5572
5573,D:\PROJECTS\Python_projects\PythonMain\data_task\5573,D:\PROJECTS\Python_projects\PythonMain\data_solved\5573
5574,D:\PROJECTS\Python_projects\PythonMain\data_task\5574,D:\PROJECTS\Python_projects\PythonMain\data_solved\5574
5575,D:\PROJECTS\Python_projects\PythonMain\data_task\5575,D:\PROJECTS\Python_projects\PythonMain\data_solved\5575
5576,D:\PROJECTS\Python_projects\PythonMain\data_task\5576,D:\PROJECTS\Python_projects\PythonMain\data_solved\5576
5577,D:\PROJECTS\Python_projects\PythonMain\data_task\5577,D:\PROJECTS\Python_projects\PythonMain\data_solved\5577
5578,D:\PROJECTS\Python_projects\PythonMain\data_task\5578,D:\PROJECTS\Python_projects\PythonMain\data_solved\5578
5579,D:\PROJECTS\Python_projects\PythonMain\data_task\5579,D:\PROJECTS\Python_projects\PythonMain\data_solved\5579
5580,D:\PROJECTS\Python_projects\PythonMain\data_task\5580,D:\PROJECTS\Python_projects\PythonMain\data_solved\5580
5581,D:\PROJECTS\Python_projects\PythonMain\data_task\5581,D:\PROJECTS\Python_projects\PythonMain\data_solved\5581
5582,D:\PROJECTS\Python_projects\PythonMain\data_task\5582,D:\PROJECTS\Python_projects\PythonMain\data_solved\5582
5583,D:\PROJECTS\Python_projects\PythonMain\data_task\5583,D:\PROJECTS\Python_projects\PythonMain\data_solved\5583
5584,D:\PROJECTS\Python_projects\PythonMain\data_task\5584,D:\PROJECTS\Python_projects\PythonMain\data_solved\5584
5585,D:\PROJECTS\Python_projects\PythonMain\data_task\5585,D:\PROJECTS\Python_projects\PythonMain\data_solved\5585
5586,D:\PROJECTS\Python_projects\PythonMain\data_task\5586,D:\PROJECTS\Python_projects\PythonMain\data_solved\5586
5587,D:\PROJECTS\Python_projects\PythonMain\data_task\5587,D:\PROJECTS\Python_projects\PythonMain\data_solved\5587
5588,D:\PROJECTS\Python_projects\PythonMain\data_task\5588,D:\PROJECTS\Python_projects\PythonMain\data_solved\5588
5589,D:\PROJECTS\Python_projects\PythonMain\data_task\5589,D:\PROJECTS\Python_projects\PythonMain\data_solved\5589
5590,D:\PROJECTS\Python_projects\PythonMain\data_task\5590,D:\PROJECTS\Python_projects\PythonMain\data_solved\5590
5591,D:\PROJECTS\Python_projects\PythonMain\data_task\5591,D:\PROJECTS\Python_projects\PythonMain\data_solved\5591
5592,D:\PROJECTS\Python_projects\PythonMain\data_task\5592,D:\PROJECTS\Python_projects\PythonMain\data_solved\5592
5593,D:\PROJECTS\Python_projects\PythonMain\data_task\5593,D:\PROJECTS\Python_projects\PythonMain\data_solved\5593
5594,D:\PROJECTS\Python_projects\PythonMain\data_task\5594,D:\PROJECTS\Python_projects\PythonMain\data_solved\5594
5595,D:\PROJECTS\Python_projects\PythonMain\data_task\5595,D:\PROJECTS\Python_projects\PythonMain\data_solved\5595
5596,D:\PROJECTS\Python_projects\PythonMain\data_task\5596,D:\PROJECTS\Python_projects\PythonMain\data_solved\5596
5597,D:\PROJECTS\Python_projects\PythonMain\data_task\5597,D:\PROJECTS\Python_projects\PythonMain\data_solved\5597
5598,D:\PROJECTS\Python_projects\PythonMain\data_task\5598,D:\PROJECTS\Python_projects\PythonMain\data_solved\5598
5599,D:\PROJECTS\Python_projects\PythonMain\data_task\5599,D:\PROJECTS\Python_projects\PythonMain\data_solved\5599
5600,D:\PROJECTS\Python_projects\PythonMain\data_task\5600,D:\PROJECTS\Python_projects\PythonMain\data_solved\5600
5601,D:\PROJECTS\Python_projects\PythonMain\data_task\5601,D:\PROJECTS\Python_projects\PythonMain\data_solved\5601
5602,D:\PROJECTS\Python_projects\PythonMain\data_task\5602,D:\PROJECTS\Python_projects\PythonMain\data_solved\5602
5603,D:\PROJECTS\Python_projects\PythonMain\data_task\5603,D:\PROJECTS\Python_projects\PythonMain\data_solved\5603
5604,D:\PROJECTS\Python_projects\PythonMain\data_task\5604,D:\PROJECTS\Python_projects\PythonMain\data_solved\5604
5605,D:\PROJECTS\Python_projects\PythonMain\data_task\5605,D:\PROJECTS\Python_projects\PythonMain\data_solved\5605
5606,D:\PROJECTS\Python_projects\PythonMain\data_task\5606,D:\PROJECTS\Python_projects\PythonMain\data_solved\5606
5607,D:\PROJECTS\Python_projects\PythonMain\data_task\5607,D:\PROJECTS\Python_projects\PythonMain\data_solved\5607
5608,D:\PROJECTS\Python_projects\PythonMain\data_task\5608,D:\PROJECTS\Python_projects\PythonMain\data_solved\5608
5609,D:\PROJECTS\Python_projects\PythonMain\data_task\5609,D:\PROJECTS\Python_projects\PythonMain\data_solved\5609
5610,D:\PROJECTS\Python_projects\PythonMain\data_task\5610,D:\PROJECTS\Python_projects\PythonMain\data_solved\5610
5611,D:\PROJECTS\Python_projects\PythonMain\data_task\5611,D:\PROJECTS\Python_projects\PythonMain\data_solved\5611
5612,D:\PROJECTS\Python_projects\PythonMain\data_task\5612,D:\PROJECTS\Python_projects\PythonMain\data_solved\5612
5613,D:\PROJECTS\Python_projects\PythonMain\data_task\5613,D:\PROJECTS\Python_projects\PythonMain\data_solved\5613
5614,D:\PROJECTS\Python_projects\PythonMain\data_task\5614,D:\PROJECTS\Python_projects\PythonMain\data_solved\5614
5615,D:\PROJECTS\Python_projects\PythonMain\data_task\5615,D:\PROJECTS\Python_projects\PythonMain\data_solved\5615
5616,D:\PROJECTS\Python_projects\PythonMain\data_task\5616,D:\PROJECTS\Python_projects\PythonMain\data_solved\5616
5617,D:\PROJECTS\Python_projects\PythonMain\data_task\5617,D:\PROJECTS\Python_projects\PythonMain\data_solved\5617
5618,D:\PROJECTS\Python_projects\PythonMain\data_task\5618,D:\PROJECTS\Python_projects\PythonMain\data_solved\5618
5619,D:\PROJECTS\Python_projects\PythonMain\data_task\5619,D:\PROJECTS\Python_projects\PythonMain\data_solved\5619
5620,D:\PROJECTS\Python_projects\PythonMain\data_task\5620,D:\PROJECTS\Python_projects\PythonMain\data_solved\5620
5621,D:\PROJECTS\Python_projects\PythonMain\data_task\5621,D:\PROJECTS\Python_projects\PythonMain\data_solved\5621
5622,D:\PROJECTS\Python_projects\PythonMain\data_task\5622,D:\PROJECTS\Python_projects\PythonMain\data_solved\5622
5623,D:\PROJECTS\Python_projects\PythonMain\data_task\5623,D:\PROJECTS\Python_projects\PythonMain\data_solved\5623
5624,D:\PROJECTS\Python_projects\PythonMain\data_task\5624,D:\PROJECTS\Python_projects\PythonMain\data_solved\5624
5625,D:\PROJECTS\Python_projects\PythonMain\data_task\5625,D:\PROJECTS\Python_projects\PythonMain\data_solved\5625
5626,D:\PROJECTS\Python_projects\PythonMain\data_task\5626,D:\PROJECTS\Python_projects\PythonMain\data_solved\5626
5627,D:\PROJECTS\Python_projects\PythonMain\data_task\5627,D:\PROJECTS\Python_projects\PythonMain\data_solved\5627
5628,D:\PROJECTS\Python_projects\PythonMain\data_task\5628,D:\PROJECTS\Python_projects\PythonMain\data_solved\5628
5629,D:\PROJECTS\Python_projects\PythonMain\data_task\5629,D:\PROJECTS\Python_projects\PythonMain\data_solved\5629
5630,D:\PROJECTS\Python_projects\PythonMain\data_task\5630,D:\PROJECTS\Python_projects\PythonMain\data_solved\5630
5631,D:\PROJECTS\Python_projects\PythonMain\data_task\5631,D:\PROJECTS\Python_projects\PythonMain\data_solved\5631
5632,D:\PROJECTS\Python_projects\PythonMain\data_task\5632,D:\PROJECTS\Python_projects\PythonMain\data_solved\5632
5633,D:\PROJECTS\Python_projects\PythonMain\data_task\5633,D:\PROJECTS\Python_projects\PythonMain\data_solved\5633
5634,D:\PROJECTS\Python_projects\PythonMain\data_task\5634,D:\PROJECTS\Python_projects\PythonMain\data_solved\5634
5635,D:\PROJECTS\Python_projects\PythonMain\data_task\5635,D:\PROJECTS\Python_projects\PythonMain\data_solved\5635
5636,D:\PROJECTS\Python_projects\PythonMain\data_task\5636,D:\PROJECTS\Python_projects\PythonMain\data_solved\5636
5637,D:\PROJECTS\Python_projects\PythonMain\data_task\5637,D:\PROJECTS\Python_projects\PythonMain\data_solved\5637
5638,D:\PROJECTS\Python_projects\PythonMain\data_task\5638,D:\PROJECTS\Python_projects\PythonMain\data_solved\5638
5639,D:\PROJECTS\Python_projects\PythonMain\data_task\5639,D:\PROJECTS\Python_projects\PythonMain\data_solved\5639
5640,D:\PROJECTS\Python_projects\PythonMain\data_task\5640,D:\PROJECTS\Python_projects\PythonMain\data_solved\5640
5641,D:\PROJECTS\Python_projects\PythonMain\data_task\5641,D:\PROJECTS\Python_projects\PythonMain\data_solved\5641
5642,D:\PROJECTS\Python_projects\PythonMain\data_task\5642,D:\PROJECTS\Python_projects\PythonMain\data_solved\5642
5643,D:\PROJECTS\Python_projects\PythonMain\data_task\5643,D:\PROJECTS\Python_projects\PythonMain\data_solved\5643
5644,D:\PROJECTS\Python_projects\PythonMain\data_task\5644,D:\PROJECTS\Python_projects\PythonMain\data_solved\5644
5645,D:\PROJECTS\Python_projects\PythonMain\data_task\5645,D:\PROJECTS\Python_projects\PythonMain\data_solved\5645
5646,D:\PROJECTS\Python_projects\PythonMain\data_task\5646,D:\PROJECTS\Python_projects\PythonMain\data_solved\5646
5647,D:\PROJECTS\Python_projects\PythonMain\data_task\5647,D:\PROJECTS\Python_projects\PythonMain\data_solved\5647
5648,D:\PROJECTS\Python_projects\PythonMain\data_task\5648,D:\PROJECTS\Python_projects\PythonMain\data_solved\5648
5649,D:\PROJECTS\Python_projects\PythonMain\data_task\5649,D:\PROJECTS\Python_projects\PythonMain\data_solved\5649
5650,D:\PROJECTS\Python_projects\PythonMain\data_task\5650,D:\PROJECTS\Python_projects\PythonMain\data_solved\5650
5651,D:\PROJECTS\Python_projects\PythonMain\data_task\5651,D:\PROJECTS\Python_projects\PythonMain\data_solved\5651
5652,D:\PROJECTS\Python_projects\PythonMain\data_task\5652,D:\PROJECTS\Python_projects\PythonMain\data_solved\5652
5653,D:\PROJECTS\Python_projects\PythonMain\data_task\5653,D:\PROJECTS\Python_projects\PythonMain\data_solved\5653
5654,D:\PROJECTS\Python_projects\PythonMain\data_task\5654,D:\PROJECTS\Python_projects\PythonMain\data_solved\5654
5655,D:\PROJECTS\Python_projects\PythonMain\data_task\5655,D:\PROJECTS\Python_projects\PythonMain\data_solved\5655
5656,D:\PROJECTS\Python_projects\PythonMain\data_task\5656,D:\PROJECTS\Python_projects\PythonMain\data_solved\5656
5657,D:\PROJECTS\Python_projects\PythonMain\data_task\5657,D:\PROJECTS\Python_projects\PythonMain\data_solved\5657
5658,D:\PROJECTS\Python_projects\PythonMain\data_task\5658,D:\PROJECTS\Python_projects\PythonMain\data_solved\5658
5659,D:\PROJECTS\Python_projects\PythonMain\data_task\5659,D:\PROJECTS\Python_projects\PythonMain\data_solved\5659
5660,D:\PROJECTS\Python_projects\PythonMain\data_task\5660,D:\PROJECTS\Python_projects\PythonMain\data_solved\5660
5661,D:\PROJECTS\Python_projects\PythonMain\data_task\5661,D:\PROJECTS\Python_projects\PythonMain\data_solved\5661
5662,D:\PROJECTS\Python_projects\PythonMain\data_task\5662,D:\PROJECTS\Python_projects\PythonMain\data_solved\5662
5663,D:\PROJECTS\Python_projects\PythonMain\data_task\5663,D:\PROJECTS\Python_projects\PythonMain\data_solved\5663
5664,D:\PROJECTS\Python_projects\PythonMain\data_task\5664,D:\PROJECTS\Python_projects\PythonMain\data_solved\5664
5665,D:\PROJECTS\Python_projects\PythonMain\data_task\5665,D:\PROJECTS\Python_projects\PythonMain\data_solved\5665
5666,D:\PROJECTS\Python_projects\PythonMain\data_task\5666,D:\PROJECTS\Python_projects\PythonMain\data_solved\5666
5667,D:\PROJECTS\Python_projects\PythonMain\data_task\5667,D:\PROJECTS\Python_projects\PythonMain\data_solved\5667
5668,D:\PROJECTS\Python_projects\PythonMain\data_task\5668,D:\PROJECTS\Python_projects\PythonMain\data_solved\5668
5669,D:\PROJECTS\Python_projects\PythonMain\data_task\5669,D:\PROJECTS\Python_projects\PythonMain\data_solved\5669
5670,D:\PROJECTS\Python_projects\PythonMain\data_task\5670,D:\PROJECTS\Python_projects\PythonMain\data_solved\5670
5671,D:\PROJECTS\Python_projects\PythonMain\data_task\5671,D:\PROJECTS\Python_projects\PythonMain\data_solved\5671
5672,D:\PROJECTS\Python_projects\PythonMain\data_task\5672,D:\PROJECTS\Python_projects\PythonMain\data_solved\5672
5673,D:\PROJECTS\Python_projects\PythonMain\data_task\5673,D:\PROJECTS\Python_projects\PythonMain\data_solved\5673
5674,D:\PROJECTS\Python_projects\PythonMain\data_task\5674,D:\PROJECTS\Python_projects\PythonMain\data_solved\5674
5675,D:\PROJECTS\Python_projects\PythonMain\data_task\5675,D:\PROJECTS\Python_projects\PythonMain\data_solved\5675
5676,D:\PROJECTS\Python_projects\PythonMain\data_task\5676,D:\PROJECTS\Python_projects\PythonMain\data_solved\5676
5677,D:\PROJECTS\Python_projects\PythonMain\data_task\5677,D:\PROJECTS\Python_projects\PythonMain\data_solved\5677
5678,D:\PROJECTS\Python_projects\PythonMain\data_task\5678,D:\PROJECTS\Python_projects\PythonMain\data_solved\5678
5679,D:\PROJECTS\Python_projects\PythonMain\data_task\5679,D:\PROJECTS\Python_projects\PythonMain\data_solved\5679
5680,D:\PROJECTS\Python_projects\PythonMain\data_task\5680,D:\PROJECTS\Python_projects\PythonMain\data_solved\5680
5681,D:\PROJECTS\Python_projects\PythonMain\data_task\5681,D:\PROJECTS\Python_projects\PythonMain\data_solved\5681
5682,D:\PROJECTS\Python_projects\PythonMain\data_task\5682,D:\PROJECTS\Python_projects\PythonMain\data_solved\5682
5683,D:\PROJECTS\Python_projects\PythonMain\data_task\5683,D:\PROJECTS\Python_projects\PythonMain\data_solved\5683
5684,D:\PROJECTS\Python_projects\PythonMain\data_task\5684,D:\PROJECTS\Python_projects\PythonMain\data_solved\5684
5685,D:\PROJECTS\Python_projects\PythonMain\data_task\5685,D:\PROJECTS\Python_projects\PythonMain\data_solved\5685
5686,D:\PROJECTS\Python_projects\PythonMain\data_task\5686,D:\PROJECTS\Python_projects\PythonMain\data_solved\5686
5687,D:\PROJECTS\Python_projects\PythonMain\data_task\5687,D:\PROJECTS\Python_projects\PythonMain\data_solved\5687
5688,D:\PROJECTS\Python_projects\PythonMain\data_task\5688,D:\PROJECTS\Python_projects\PythonMain\data_solved\5688
5689,D:\PROJECTS\Python_projects\PythonMain\data_task\5689,D:\PROJECTS\Python_projects\PythonMain\data_solved\5689
5690,D:\PROJECTS\Python_projects\PythonMain\data_task\5690,D:\PROJECTS\Python_projects\PythonMain\data_solved\5690
5691,D:\PROJECTS\Python_projects\PythonMain\data_task\5691,D:\PROJECTS\Python_projects\PythonMain\data_solved\5691
5692,D:\PROJECTS\Python_projects\PythonMain\data_task\5692,D:\PROJECTS\Python_projects\PythonMain\data_solved\5692
5693,D:\PROJECTS\Python_projects\PythonMain\data_task\5693,D:\PROJECTS\Python_projects\PythonMain\data_solved\5693
5694,D:\PROJECTS\Python_projects\PythonMain\data_task\5694,D:\PROJECTS\Python_projects\PythonMain\data_solved\5694
5695,D:\PROJECTS\Python_projects\PythonMain\data_task\5695,D:\PROJECTS\Python_projects\PythonMain\data_solved\5695
5696,D:\PROJECTS\Python_projects\PythonMain\data_task\5696,D:\PROJECTS\Python_projects\PythonMain\data_solved\5696
5697,D:\PROJECTS\Python_projects\PythonMain\data_task\5697,D:\PROJECTS\Python_projects\PythonMain\data_solved\5697
5698,D:\PROJECTS\Python_projects\PythonMain\data_task\5698,D:\PROJECTS\Python_projects\PythonMain\data_solved\5698
5699,D:\PROJECTS\Python_projects\PythonMain\data_task\5699,D:\PROJECTS\Python_projects\PythonMain\data_solved\5699
5700,D:\PROJECTS\Python_projects\PythonMain\data_task\5700,D:\PROJECTS\Python_projects\PythonMain\data_solved\5700
5701,D:\PROJECTS\Python_projects\PythonMain\data_task\5701,D:\PROJECTS\Python_projects\PythonMain\data_solved\5701
5702,D:\PROJECTS\Python_projects\PythonMain\data_task\5702,D:\PROJECTS\Python_projects\PythonMain\data_solved\5702
5703,D:\PROJECTS\Python_projects\PythonMain\data_task\5703,D:\PROJECTS\Python_projects\PythonMain\data_solved\5703
5704,D:\PROJECTS\Python_projects\PythonMain\data_task\5704,D:\PROJECTS\Python_projects\PythonMain\data_solved\5704
5705,D:\PROJECTS\Python_projects\PythonMain\data_task\5705,D:\PROJECTS\Python_projects\PythonMain\data_solved\5705
5706,D:\PROJECTS\Python_projects\PythonMain\data_task\5706,D:\PROJECTS\Python_projects\PythonMain\data_solved\5706
5707,D:\PROJECTS\Python_projects\PythonMain\data_task\5707,D:\PROJECTS\Python_projects\PythonMain\data_solved\5707
